Identifiant,Nom_Etablissement,Annee_Emission,Milieu,Polluant,quantite,unite
070.00789,POLYNT COMPOSITES FRANCE,2011,Eau (indirect),Benzo (b) fluoranthène,0.001,kg/an
070.00789,POLYNT COMPOSITES FRANCE,2011,Eau (indirect),"Xylènes (somme ortho-xylène, méta-xylène, para-xylène)",0.178,kg/an
070.00882,.SYNTHEXIM,2011,Eau (direct),Chloroforme (trichlorométhane),0.6,kg/an
070.00895,DCX Chrome SAS,2011,Air,Vanadium et ses composés,0.075,kg/an
070.00895,DCX Chrome SAS,2011,Air,Thallium et ses composés (exprimés en tant que Tl),0.082,kg/an
070.00951,SOTRENOR,2011,Air,Vanadium et ses composés,0.14,kg/an
070.00951,SOTRENOR,2011,Air,Thallium et ses composés (exprimés en tant que Tl),6.18,kg/an
070.01061,CLOVAL,2011,Air,Vanadium et ses composés,0.00135,kg/an
070.01141,BOULONNAIS (Comm. d'Agglo)-(ex SYNDIVAL),2011,Eau (direct),Benzo (a) pyrène,0.003,kg/an
070.01141,BOULONNAIS (Comm. d'Agglo)-(ex SYNDIVAL),2011,Eau (direct),Benzo (b) fluoranthène,0.003,kg/an
070.01904,LECOUFFE DARRAS,2011,Air,Vanadium et ses composés,0.0655,kg/an
070.01904,LECOUFFE DARRAS,2011,Air,Thallium et ses composés (exprimés en tant que Tl),0.104,kg/an
070.02457,SAS RICHARD Colorants,2011,Eau (indirect),"Tétrachlorométhane (TCM, tétrachlorure de carbone)",0.01,kg/an
070.03356,LUMIVEROPTIM,2011,Air,Vanadium et ses composés,0.0185,kg/an
070.03356,LUMIVEROPTIM,2011,Air,Thallium et ses composés (exprimés en tant que Tl),0.041,kg/an
072.01789,QUADRIPACK,2011,Eau (direct),Gamma isomère Lindane,0.003,kg/an
072.05804,SMICTOM D'AUNIS ET DES VAL DES SAINTONGE - UIOM DE SURGERES,2011,Air,Vanadium et ses composés,0.229,kg/an
072.05804,SMICTOM D'AUNIS ET DES VAL DES SAINTONGE - UIOM DE SURGERES,2011,Air,Thallium et ses composés (exprimés en tant que Tl),0.21,kg/an
074.02355,Usine d'épuration de Marne Aval,2011,Air,Vanadium et ses composés,0.37,kg/an
074.02355,Usine d'épuration de Marne Aval,2011,Air,Thallium et ses composés (exprimés en tant que Tl),0.39,kg/an
100.00006,INVEHO UFO,2011,Eau (direct),"1,2-dichloroéthane (DCE - chlorure d'éthylène)",0.514,kg/an
100.00120,CMS High Tech,2011,Eau (direct),Chloroforme (trichlorométhane),0.0002,kg/an
100.01646,STCM B1,2011,Air,Vanadium et ses composés,4.36,kg/an
100.01646,STCM B1,2011,Air,Thallium et ses composés (exprimés en tant que Tl),4.36,kg/an
100.01799,Unité de valorisation des déchets ménagers,2011,Air,Vanadium et ses composés,0.0326,kg/an
100.01799,Unité de valorisation des déchets ménagers,2011,Air,Thallium et ses composés (exprimés en tant que Tl),0.0711,kg/an
100.03876,Nexter Munitions La Chapelle Saint Ursin,2011,Eau (indirect),Benzo (a) pyrène,0.003,kg/an
100.03876,Nexter Munitions La Chapelle Saint Ursin,2011,Eau (indirect),Nonylphénols et éthoxylates de nonylphénol (NP/NPE),0.032,kg/an
100.03876,Nexter Munitions La Chapelle Saint Ursin,2011,Eau (direct),Nonylphénols et éthoxylates de nonylphénol (NP/NPE),0.0798,kg/an
100.03876,Nexter Munitions La Chapelle Saint Ursin,2011,Eau (direct),Octylphénols et éthoxylates d'octylphénol,0.048,kg/an
100.03876,Nexter Munitions La Chapelle Saint Ursin,2011,Eau (indirect),Octylphénols et éthoxylates d'octylphénol,0.054,kg/an
100.03876,Nexter Munitions La Chapelle Saint Ursin,2011,Eau (indirect),Benzo (k) fluoranthène,0.003,kg/an
100.03876,Nexter Munitions La Chapelle Saint Ursin,2011,Eau (indirect),"Indeno(1,2,3-cd)pyrène",0.005,kg/an
100.03876,Nexter Munitions La Chapelle Saint Ursin,2011,Eau (indirect),Benzo (b) fluoranthène,0.005,kg/an
106.00343,GRS VALTECH,2011,Air,Vanadium et ses composés,0.4,kg/an
106.00343,GRS VALTECH,2011,Air,Thallium et ses composés (exprimés en tant que Tl),0.4,kg/an
128.00005,MILGRED,2011,Air,Vanadium et ses composés,0.00000000627,kg/an
162.00005,COMMUNAUTE D'AGGLOMERATION DU BASSIN D'AURILLAC,2011,Air,Vanadium et ses composés,0.0219,kg/an
162.00005,COMMUNAUTE D'AGGLOMERATION DU BASSIN D'AURILLAC,2011,Air,Thallium et ses composés (exprimés en tant que Tl),0.0128,kg/an
164.00376,MEWA,2011,Air,Vanadium et ses composés,0.119,kg/an
164.00376,MEWA,2011,Air,Thallium et ses composés (exprimés en tant que Tl),0.011,kg/an
22032105,NOGUES Jacqueline,2011,Air,Ammoniac (NH3),10200,kg/an
251.00073,REFINAL INDUSTRIES,2011,Air,Vanadium et ses composés,2.51,kg/an
29293010,S.F.V.,2011,Eau (indirect),Nonylphénols et éthoxylates de nonylphénol (NP/NPE),0.006,kg/an
597.00159,SICA DES SABLES,2011,Air,Vanadium et ses composés,0.265,kg/an
597.00159,SICA DES SABLES,2011,Air,Thallium et ses composés (exprimés en tant que Tl),0.08,kg/an
059.00578,CASTMETAL FWF,2011,Air,Dioxines et furanes (PCDD + PCDF) (exprimés en iTeq),0.21,kg/an
000.00001,SARL JEAN CARTON,2011,Air,Ammoniac (NH3),20100,kg/an
01046103,GAEC des Prelions,2011,Air,Ammoniac (NH3),23300,kg/an
01074121,SAS EGGTEAM AVIPONTE,2011,Air,Ammoniac (NH3),15100,kg/an
01115003,SARL de Montburon,2011,Air,Ammoniac (NH3),12600,kg/an
01147112,SCEA ROBIN,2011,Air,Ammoniac (NH3),10800,kg/an
01163015,SARL Elevage du Bois Cochon,2011,Air,Ammoniac (NH3),13800,kg/an
01301084,SARL Elevage des Marais,2011,Air,Ammoniac (NH3),18500,kg/an
01312009,PROVENT SDPR - Elevage des 3 Monts,2011,Air,Ammoniac (NH3),33800,kg/an
01343009,SAS AIRPORC / ELEVAGE GREZIAT,2011,Air,Ammoniac (NH3),10200,kg/an
01346010,SCEA SOGIFRA,2011,Air,Ammoniac (NH3),13300,kg/an
01365149,Agrioeuf,2011,Air,Ammoniac (NH3),10600,kg/an
01441045,SA Larçon,2011,Air,Ammoniac (NH3),11200,kg/an
01445005,EARL DU CHARPET,2011,Air,Ammoniac (NH3),14500,kg/an
02017039,SCEA Les COUTURES,2011,Air,Ammoniac (NH3),19500,kg/an
02147039,SCEA des 3B,2011,Air,Ammoniac (NH3),10500,kg/an
