Identifiant,Nom_Etablissement,Dechet,Annee,Code_Operation_Eliminatio_Valorisation,Libelle_Operation_Eliminatio_Valorisation,Code_Departement,Pays,Code_Dechet,Libelle_Dechet,Quantite_admise,Quantite_traitee,Unite
064.00398,DELTA DECHETS - ISDND du Coudoulet,Traitement de dÃ©chets non dangereux,2011,"D5 ","D5 Mise en décharge spécialement aménagée (par exemple, placement dans des alvéoles étanches séparées, recouvertes et isolées les unes et les autres et de l'environnement etc.)",,,9,Déchets banals des entreprises,139600.000,139600.000,t/an
052.00361,SIAP,Traitement de dÃ©chets non dangereux,2011,D10,D10 Incinération à terre,,,08 04 99,Déchets non spécifiés ailleurs.,5.320,5.320,t/an
164.00362,ISDND de Cusset,Traitement de dÃ©chets non dangereux,2011,"D5 ","D5 Mise en décharge spécialement aménagée (par exemple, placement dans des alvéoles étanches séparées, recouvertes et isolées les unes et les autres et de l'environnement etc.)",,,19 12 12,Autres déchets (y compris mélanges) provenant du traitement mécanique des déchets autres que ceux visés à la rubrique 19 12 11.,13700.000,13700.000,t/an
067.00766,LINGENHELD ENVIRONNEMENT,Traitement de dÃ©chets non dangereux,2011,"R5 ",R5 Recyclage ou récupération d'autres matières inorganiques,,,17 01 07,"Mélanges de béton, briques, tuiles et céramiques autres que ceux visés à la rubrique 17 01 06.",43000.000,43000.000,t/an
221.00284,ISDND de la Gabarre,Traitement de dÃ©chets non dangereux,2011,"D1 ","D1 Dépôt sur ou dans le sol (par exemple, mise en décharge, etc.)",,,17 09 04,"Déchets de construction et de démolition en mélange autres que ceux visés aux rubriques 17 09 01, 17 09 02 et 17 09 03.",12540.000,12540.000,t/an
062.02326,ISDND de La Haie Rousse,Traitement de dÃ©chets non dangereux,2011,"R3 ",R3 Recyclage ou récupération des substances organiques qui ne sont pas utilisées comme solvants (y compris les opérations de compostage et autres transformations biologiques),,,19 12 07,Bois autres que ceux visés à la rubrique 19 12 06,286.000,286.000,t/an
053.02854,SUEZ RV Normandie - ISDND de Perche en Nocé,Traitement de dÃ©chets non dangereux,2011,"D5 ","D5 Mise en décharge spécialement aménagée (par exemple, placement dans des alvéoles étanches séparées, recouvertes et isolées les unes et les autres et de l'environnement etc.)",,,19 12 12,Autres déchets (y compris mélanges) provenant du traitement mécanique des déchets autres que ceux visés à la rubrique 19 12 11.,8500.000,8500.000,t/an
072.02158,Suez R&V SUD OUEST - Installation de stockage de déchets non dangereux de SAINT-SAUVEUR,Traitement de dÃ©chets non dangereux,2011,"D5 ","D5 Mise en décharge spécialement aménagée (par exemple, placement dans des alvéoles étanches séparées, recouvertes et isolées les unes et les autres et de l'environnement etc.)",,,19 08 01,Déchets de dégrillage,280.000,280.000,t/an
064.00441,VALOREF,Traitement de dÃ©chets non dangereux,2011,R13,"R13 Stockage de déchets préalablement à l'une des opérations numérotées R 1 à R 12 (à l'exclusion du stockage temporaire, avant collecte, sur le site de production)",,,17 05 04,Terres et cailloux autres que ceux visés à la rubrique 17 05 03,232.000,232.000,t/an
054.01296,Usine de Frangey,Traitement de dÃ©chets non dangereux,2011,"R5 ",R5 Recyclage ou récupération d'autres matières inorganiques,,,17 01 01,Béton,916.000,916.000,t/an
